Year,Region,crop_type,Area_cultivatedHa,Productionkg,Yeild_kg/ha
1996-01-01,Harari,Maize,680.0,781000,1149000
1996-01-01,Harari,Sorghum,2840.0,3020000,1063000
2013-01-01,Afar,Maize,3346.35,18848263,5632
2022-01-01,Gambela,Maize,5158.0,23354502,4528
2021-01-01,Benushangul Gumuz,Maize,71802.87,308909188,4302
2022-01-01,Benushangul Gumuz,Maize,71802.87,308909188,4302
2020-01-01,Oromiya,Maize,1390841.48,5981665264,4301
2021-01-01,Oromiya,Maize,1371868.06,5888706426,4292
2022-01-01,Amhara,Maize,616502.44,2642188834,4286
2021-01-01,Amhara,Maize,595085.89,2542469511,4272
2022-01-01,Oromiya,Maize,1464047.9,6190777070,4229
2020-01-01,S.N.N.P.R,Maize,356365.9,1492438859,4188
2021-01-01,S.N.N.P.R,Maize,313799.28,1307399393,4166
2020-01-01,Benushangul Gumuz,Maize,61948.91,256836140,4146
2020-01-01,Amhara,Maize,534007.8,2195880725,4112
2019-01-01,Oromiya,Maize,1324274.98,5438311944,4107
2019-01-01,Amhara,Maize,559981.55,2284448311,4080
2019-01-01,Benushangul Gumuz,Maize,62287.85,253986366,4078
2018-01-01,Oromiya,Maize,1146899.78,4676744066,4078
2018-01-01,Benushangul Gumuz,Maize,50681.11,203375051,4013
2022-01-01,S.N.N.P.R,Maize,348216.59,1389362156,3990
2018-01-01,Amhara,Maize,520116.84,2071865758,3983
2019-01-01,S.N.N.P.R,Maize,320078.03,1257581630,3929
2017-01-01,Benushangul Gumuz,Maize,49115.09,188481615,3838
2017-01-01,Oromiya,Maize,1142653.56,4362096931,3818
2018-01-01,S.N.N.P.R,Maize,314535.17,1196967078,3806
2017-01-01,Amhara,Maize,519495.71,1962937196,3780
2007-01-01,Afar,Maize,13221.0,49061022,3711
2010-01-01,Afar,Maize,3498.58,12896404,3686
2014-01-01,Afar,Maize,4723.91,17223347,3646
2015-01-01,Amhara,Maize,513367.36,1837500847,3579
2016-01-01,Benushangul Gumuz,Maize,46998.87,167376015,3561
2016-01-01,Oromiya,Maize,1125747.85,3953859374,3512
2016-01-01,Amhara,Maize,517210.23,1814326840,3508
2015-01-01,Oromiya,Maize,1129849.71,3944110364,3491
2015-01-01,Benushangul Gumuz,Maize,45278.92,156509077,3457
2014-01-01,Oromiya,Oats,29979.5,54504707,3393
2014-01-01,Amhara,Maize,474254.25,1598474987,3371
2022-01-01,Oromiya,Wheat,1030582.0,3467385140,3364
2017-01-01,S.N.N.P.R,Maize,322714.36,1085725550,3364
2014-01-01,Oromiya,Maize,1083332.83,3595409042,3319
2021-01-01,Oromiya,Wheat,996364.4,3287749709,3300
2012-01-01,Afar,Maize,4333.21,14049806,3242
2015-01-01,S.N.N.P.R,Maize,310243.28,999868525,3223
2013-01-01,Oromiya,Maize,1115957.4,3590845746,3218
2018-01-01,Afar,Maize,4308.23,13800912,3203
2019-01-01,Afar,Maize,4308.23,13800912,3203
2013-01-01,Somalia,Maize,28808.44,92029339,3195
2014-01-01,Benushangul Gumuz,Maize,46098.0,146577836,3180
2012-01-01,Oromiya,Maize,1102256.2,3482899290,3160
1999-01-01,Afar,Maize,3390.0,5754000,3136
2020-01-01,Oromiya,Wheat,897236.5,2800964857,3122
2014-01-01,S.N.N.P.R,Maize,284723.54,887752394,3118
2022-01-01,Harari,Maize,1802.0,5610311,3112
2013-01-01,Somalia,Sorghum,31593.75,98061938,3104
2012-01-01,Benushangul Gumuz,Maize,46534.5,143187031,3077
2016-01-01,S.N.N.P.R,Maize,325116.61,999735524,3075
2021-01-01,Tigray,Maize,80151.64,246465394,3075
2020-01-01,Oromiya,Sorghum,629724.86,1901752085,3020
2020-01-01,Tigray,Sorghum,239044.72,720625344,3015
2021-01-01,Tigray,Sorghum,232636.49,700856077,3013
2018-01-01,Oromiya,Wheat,898682.57,2669917773,2971
2017-01-01,Oromiya,Wheat,898455.57,2664024446,2965
2013-01-01,Benushangul Gumuz,Maize,49476.37,145454488,2940
2021-01-01,S.N.N.P.R,Wheat,147640.62,431681366,2924
2019-01-01,Tigray,Sorghum,242716.17,709250941,2922
2019-01-01,Oromiya,Wheat,897118.0,2685287615,2912
2013-01-01,Amhara,Maize,434641.83,1262972851,2906
2017-01-01,Afar,Maize,4664.83,13553348,2905
2020-01-01,Benushangul Gumuz,Sorghum,60134.58,173394724,2883
2008-01-01,Afar,Maize,12535.16,36059537,2877
2014-01-01,Somalia,Sorghum,30627.74,87994464,2873
2022-01-01,S.N.N.P.R,Wheat,142738.62,409266109,2867
1996-01-01,Gambela,Maize,5160.0,14789000,2866
2013-01-01,S.N.N.P.R,Maize,305204.64,871890174,2857
2022-01-01,Oromiya,Barely,434183.48,1239939241,2856
2019-01-01,Oromiya,Sorghum,718966.58,2053163606,2856
2018-01-01,Tigray,Sorghum,254655.92,726271779,2852
2009-01-01,Afar,Maize,13166.81,37351425,2837
2021-01-01,Amhara,Wheat,641170.34,1815255660,2831
2018-01-01,Oromiya,Sorghum,735263.79,2081066734,2830
2015-01-01,Oromiya,Wheat,875641.45,2470321041,2821
2016-01-01,Oromiya,Wheat,872252.8,2459375144,2820
2017-01-01,Tigray,Sorghum,253757.11,712005432,2806
2021-01-01,Oromiya,Barely,440702.06,1231994795,2796
2022-01-01,Amhara,Wheat,689614.06,1922028970,2787
2014-01-01,Somalia,Maize,30095.76,83716824,2782
2001-01-01,Gambela,Maize,8790.0,24420000,2778
2020-01-01,S.N.N.P.R,Sorghum,102785.55,284099694,2764
2020-01-01,S.N.N.P.R,Wheat,145106.35,400771950,2762
2012-01-01,S.N.N.P.R,Maize,306431.17,844723248,2757
2014-01-01,Oromiya,Wheat,837000.48,2302851378,2751
2020-01-01,Amhara,Sorghum,688114.09,1883182338,2737
2015-01-01,Tigray,Sorghum,224367.43,610662690,2722
2004-01-01,Afar,Maize,7826.0,21282200,2719
2006-01-01,Afar,Maize,12776.38,34727756,2718
2021-01-01,Oromiya,Sorghum,676075.0,1836612661,2717
2022-01-01,Oromiya,Sorghum,612806.85,1664914738,2717
2020-01-01,Amhara,Wheat,575015.31,1558379990,2710
2012-01-01,Amhara,Maize,494625.08,1338702721,2706
2020-01-01,Tigray,Maize,69865.24,188645136,2700
2019-01-01,Benushangul Gumuz,Sorghum,56675.14,151995631,2682
2018-01-01,Benushangul Gumuz,Sorghum,58946.39,158002844,2680
2011-01-01,Benushangul Gumuz,Maize,43855.14,117292462,2675
2019-01-01,Gambela,Maize,4040.25,10785938,2670
2012-01-01,Somalia,Sorghum,28368.93,75704284,2669
2019-01-01,S.N.N.P.R,Wheat,151583.2,402857455,2658
2021-01-01,Amhara,Sorghum,597440.83,1588192136,2658
2022-01-01,Amhara,Sorghum,576148.05,1529198053,2654
2019-01-01,Amhara,Sorghum,643170.0,1704082052,2650
2018-01-01,Amhara,Sorghum,672491.78,1781203242,2649
2018-01-01,Gambela,Maize,4751.79,12582755,2648
2012-01-01,Somalia,Maize,28934.09,75840758,2621
2016-01-01,Tigray,Sorghum,239371.58,624644832,2610
2022-01-01,Oromiya,Millet,90123.82,235107600,2609
2019-01-01,S.N.N.P.R,Sorghum,102872.44,268432922,2609
2018-01-01,S.N.N.P.R,Wheat,127246.59,339195951,2606
2022-01-01,Amhara,Millet,243448.48,632893061,2600
2019-01-01,Amhara,Wheat,570742.91,1482043379,2597
2011-01-01,Oromiya,Maize,1109276.03,2880545093,2597
2017-01-01,Oromiya,Sorghum,739781.8,1916601228,2591
2021-01-01,Oromiya,Millet,97266.93,251563241,2586
2016-01-01,Somalia,Sorghum,33056.64,85415780,2584
2017-01-01,S.N.N.P.R,Wheat,127211.62,328759190,2584
2012-01-01,Harari,Maize,2068.62,5337816,2580
2011-01-01,Amhara,Maize,472260.11,1214805420,2572
2021-01-01,S.N.N.P.R,Sorghum,62926.09,161787868,2571
2019-01-01,Tigray,Maize,67675.62,173597203,2565
2018-01-01,Tigray,Maize,62161.78,159056125,2559
2017-01-01,Tigray,Maize,66451.95,169801363,2555
2018-01-01,S.N.N.P.R,Sorghum,112193.73,285264082,2543
2021-01-01,Amhara,Millet,259903.48,660446344,2541
2014-01-01,Tigray,Sorghum,215111.82,546322532,2540
2018-01-01,Amhara,Wheat,554661.74,1404707481,2533
2015-01-01,Oromiya,Sorghum,719399.7,1814671697,2522
2020-01-01,Tigray,Millet,84868.47,213906149,2520
2020-01-01,Benushangul Gumuz,Wheat,3377.63,8477865,2510
2016-01-01,S.N.N.P.R,Wheat,133419.8,334633928,2508
2014-01-01,Oromiya,Sorghum,669575.97,173920869,2500
2022-01-01,S.N.N.P.R,Sorghum,79129.69,197616957,2497
2020-01-01,Oromiya,Millet,68782.2,171626108,2495
2016-01-01,Oromiya,Sorghum,759954.42,1884630071,2480
2015-01-01,Tigray,Maize,64197.01,159149435,2479
2019-01-01,Oromiya,Millet,82044.16,201074320,2451
2017-01-01,Amhara,Sorghum,670114.31,1640299423,2448
2015-01-01,S.N.N.P.R,Wheat,137294.72,334571131,2437
2021-01-01,S.N.N.P.R,Barely,75440.14,183737285,2436
2017-01-01,Benushangul Gumuz,Sorghum,58377.9,142172507,2435
2020-01-01,Amhara,Millet,234632.36,570819330,2433
2020-01-01,Oromiya,Barely,372910.96,904786657,2426
2013-01-01,Tigray,Sorghum,208390.45,505138377,2424
2016-01-01,Afar,Maize,2330.86,5639678,2420
2018-01-01,Harari,Maize,1397.66,3382752,2420
2009-01-01,Benushangul Gumuz,Maize,32009.85,77336861,2416
2019-01-01,Somalia,Maize,23792.38,57483111,2416
2018-01-01,Somalia,Maize,23792.38,57483111,2416
2019-01-01,Benushangul Gumuz,Wheat,3033.6,7322787,2414
2021-01-01,S.N.N.P.R,Millet,9362.3,22601497,2414
2019-01-01,Oromiya,Barely,386569.22,932507644,2412
2018-01-01,Oromiya,Barely,451279.26,1088487660,2412
2021-01-01,Gambela,Maize,4831.46,11639114,2409
2018-01-01,Benushangul Gumuz,Wheat,2455.71,5908357,2406
2017-01-01,Oromiya,Barely,454662.78,1093944813,2406
1998-01-01,Gambela,Maize,9000.0,21642000,2405
2019-01-01,Tigray,Millet,85575.12,205423561,2401
2021-01-01,Tigray,Millet,9199.73,215725616,2392
2011-01-01,Tigray,Maize,62857.22,149852718,2384
2016-01-01,Somalia,Maize,25833.74,61503026,2381
2017-01-01,Amhara,Wheat,554284.49,1319069113,2380
2014-01-01,S.N.N.P.R,Wheat,118349.23,281685626,2380
2017-01-01,Harari,Maize,1407.76,3340244,2373
2014-01-01,Gambela,Sorghum,3050.36,7228069,2370
2012-01-01,Tigray,Maize,64803.39,153610800,2370
2015-01-01,Gambela,Sorghum,3050.36,7228069,2370
2006-01-01,Oromiya,Maize,858096.17,2031748429,2368
2012-01-01,Gambela,Maize,4518.41,10687412,2365
2013-01-01,Gambela,Maize,5070.81,11972488,2361
2022-01-01,S.N.N.P.R,Millet,9157.31,21567919,2355
2021-01-01,Harari,Maize,1315.09,3096809,2355
2022-01-01,S.N.N.P.R,Barely,70837.95,166442165,2350
2011-01-01,S.N.N.P.R,Maize,237354.61,556546340,2345
2012-01-01,Somalia,Wheat,4130.51,9675557,2342
2021-01-01,Amhara,Barely,311401.39,728902314,2341
2018-01-01,Oromiya,Millet,93831.88,219537397,2340
2007-01-01,Oromiya,Maize,948732.18,2215804820,2336
2013-01-01,Tigray,Maize,69026.2,161159543,2335
2009-01-01,Amhara,Maize,396715.7,925964400,2334
2009-01-01,Oromiya,Maize,933712.5,2178331700,2333
2011-01-01,Gambela,Sorghum,3528.41,8214646,2328
2010-01-01,Oromiya,Maize,1000055.87,2325533029,2325
2013-01-01,Oromiya,Wheat,872971.81,2026290010,2321
2008-01-01,Amhara,Maize,397481.38,921231338,2318
2020-01-01,Harari,Maize,1712.35,3963292,2315
2007-01-01,Amhara,Maize,376937.07,868770131,2305
2019-01-01,Somalia,Sorghum,41271.04,95083254,2304
2018-01-01,Somalia,Sorghum,41271.04,95083254,2304
2019-01-01,Amhara,Millet,248292.4,571094996,2300
2016-01-01,Benushangul Gumuz,Wheat,2951.7,6740195,2283
2014-01-01,Tigray,Maize,65201.64,148599268,2279
2002-01-01,Oromiya,Maize,729461.83,1660387424,2276
2017-01-01,Oromiya,Millet,89584.8,203588144,2273
2018-01-01,Amhara,Millet,246522.71,560466508,2273
2018-01-01,Tigray,Millet,82021.79,185826511,2266
2017-01-01,Tigray,Millet,86613.23,196044168,2263
2012-01-01,Oromiya,Wheat,740810.94,1675933968,2262
2017-01-01,Amhara,Millet,246666.06,557331121,2259
2016-01-01,Benushangul Gumuz,Sorghum,51803.23,116895603,2257
2015-01-01,Tigray,Millet,83131.78,187564271,2256
2022-01-01,Amhara,Barely,286865.38,646475641,2254
2010-01-01,Amhara,Maize,355508.17,801069399,2253
2015-01-01,Oromiya,Barely,456192.42,127532649,2252
2017-01-01,Gambela,Maize,4061.5,9144938,2252
2013-01-01,Gambela,Sorghum,3662.18,8232240,2248
2016-01-01,Amhara,Wheat,545106.1,1221904309,2242
2013-01-01,Somalia,Wheat,4150.13,9278182,2236
2022-01-01,Oromiya,Oats,24498.96,54715830,2233
2021-01-01,Benushangul Gumuz,Millet,23553.74,52537630,2231
2022-01-01,Benushangul Gumuz,Millet,23553.74,52537630,2231
2010-01-01,Benushangul Gumuz,Maize,35953.4,80121872,2228
2016-01-01,Oromiya,Barely,439971.07,980086302,2228
2018-01-01,Gambela,Sorghum,1704.1,3792999,2226
2017-01-01,S.N.N.P.R,Sorghum,97489.29,216894203,2225
2015-01-01,Amhara,Wheat,529609.63,1195823247,2225
2010-01-01,Benushangul Gumuz,Sorghum,59963.23,132780984,2214
2022-01-01,Harari,Sorghum,6828.0,15076446,2208
2013-01-01,Harari,Maize,1242.35,2741443,2207
2020-01-01,Oromiya,Oats,8310.97,18329366,2205
2013-01-01,Oromiya,Sorghum,675657.31,1489815674,2205
2014-01-01,Harari,Maize,1401.38,3087611,2203
2016-01-01,Tigray,Maize,62640.0,137908952,2202
2012-01-01,Tigray,Sorghum,215142.84,473678177,2202
2019-01-01,Oromiya,Oats,11212.68,24678517,2201
2021-01-01,Tigray,Wheat,102258.28,223907183,2190
2012-01-01,Oromiya,Sorghum,743379.32,1626737441,2188
2013-01-01,S.N.N.P.R,Wheat,138351.34,302233680,2185
2021-01-01,Oromiya,Oats,10582.3,23103277,2183
2019-01-01,Gambela,Sorghum,3359.38,7322414,2180
2014-01-01,Oromiya,Barely,471134.15,1023909187,2173
2017-01-01,Gambela,Sorghum,2846.94,6168695,2167
2014-01-01,Gambela,Maize,4666.49,10107013,2166
2019-01-01,Harari,Maize,1154.09,2500033,2166
2015-01-01,Gambela,Maize,4666.49,10107013,2166
2018-01-01,Oromiya,Oats,21253.56,45913699,2160
2011-01-01,Amhara,Sorghum,710731.78,1533586075,2158
2002-01-01,Amhara,Maize,296356.11,637489581,2151
2007-01-01,Gambela,Maize,5842.0,12558400,2150
2006-01-01,Gambela,Maize,5842.0,12558400,2150
2002-01-01,Gambela,Maize,5110.06,10986748,2150
2011-01-01,Tigray,Sorghum,216878.62,466394047,2150
2017-01-01,Afar,Sorghum,1555.78,3338260,2146
2015-01-01,Benushangul Gumuz,Sorghum,64264.39,137852785,2145
2016-01-01,Amhara,Millet,256064.53,54275220,2145
2011-01-01,Oromiya,Sorghum,739361.26,1580545093,2138
2017-01-01,Oromiya,Oats,20656.17,44128318,2136
2020-01-01,Tigray,Wheat,121471.1,259339841,2135
2015-01-01,Amhara,Sorghum,655671.97,1396664583,2130
2006-01-01,Amhara,Maize,341083.52,725680151,2128
2016-01-01,Amhara,Sorghum,644263.75,1366961233,2122
2015-01-01,S.N.N.P.R,Sorghum,116887.44,247740287,2119
2014-01-01,Amhara,Wheat,52948.64,1119991322,2115
2015-01-01,Harari,Maize,1300.31,2747185,2113
2019-01-01,Tigray,Wheat,119580.03,251411295,2102
1996-01-01,Oromiya,Maize,699620.0,1466028000,2095
2017-01-01,Somalia,Maize,24767.08,51594344,2083
2017-01-01,DIRE DAWA,Maize,240.02,499129,2080
2007-01-01,Benushangul Gumuz,Maize,31435.27,65361306,2079
2018-01-01,DIRE DAWA,Maize,304.17,629635,2070
2020-01-01,Benushangul Gumuz,Millet,17548.8,36309112,2069
2016-01-01,Oromiya,Millet,88929.61,183257842,2061
2012-01-01,S.N.N.P.R,Wheat,125303.57,258140288,2060
2020-01-01,Harari,Sorghum,7942.01,16342561,2058
1997-01-01,Oromiya,Maize,751840.0,154161000,2051
1997-01-01,Benushangul Gumuz,Maize,21730.0,44378000,2042
2016-01-01,S.N.N.P.R,Sorghum,105741.73,215746590,2040
2014-01-01,Amhara,Sorghum,558827.95,1135011408,2031
2020-01-01,Amhara,Barely,242470.69,492206224,2030
2021-01-01,Harari,Sorghum,8305.19,16844948,2028
2010-01-01,Gambela,Maize,4792.95,9712493,2026
1997-01-01,Gambela,Sorghum,2100.0,4251000,2024
2019-01-01,Amhara,Barely,238164.36,481769434,2023
2000-01-01,Gambela,Maize,7150.0,14441000,2020
2015-01-01,Amhara,Millet,242894.75,490200198,2018
2014-01-01,Benushangul Gumuz,Wheat,2016.18,4068453,2018
2021-01-01,Somalia,Maize,53753.17,108443591,2017
2008-01-01,Gambela,Maize,6823.82,13746677,2015
2015-01-01,DIRE DAWA,Maize,371.07,747454,2014
2002-01-01,Benushangul Gumuz,Maize,20482.45,41252556,2014
2008-01-01,Benushangul Gumuz,Maize,31045.76,62437950,2011
2019-01-01,Tigray,Oats,203.83,408743,2005
2011-01-01,Harari,Maize,808.72,1620428,2004
2014-01-01,Benushangul Gumuz,Sorghum,64664.97,129540380,2003
2019-01-01,Benushangul Gumuz,Millet,21311.26,42655487,2002
2013-01-01,Oromiya,Barely,448545.32,897741759,2001
2017-01-01,Somalia,Sorghum,40388.03,80674097,1997
2010-01-01,S.N.N.P.R,Sorghum,108743.79,216710190,1993
2020-01-01,DIRE DAWA,Sorghum,11126.18,22143704,1990
2017-01-01,DIRE DAWA,Sorghum,10507.78,20889029,1988
2010-01-01,S.N.N.P.R,Wheat,155660.71,308990982,1985
1997-01-01,Tigray,Maize,41740.0,82755000,1983
2018-01-01,Tigray,Wheat,107929.86,214003144,1983
2018-01-01,Benushangul Gumuz,Millet,29167.48,57771303,1981
2001-01-01,Oromiya,Maize,871250.0,1724724000,1980
2015-01-01,Oromiya,Millet,92804.53,183448648,1977
2010-01-01,Gambela,Sorghum,4682.3,9257859,1977
2017-01-01,Tigray,Wheat,107724.17,212867257,1976
2006-01-01,Benushangul Gumuz,Maize,31720.76,62662819,1975
2018-01-01,Amhara,Barely,323936.38,639452375,1974
2007-01-01,S.N.N.P.R,Maize,220993.46,435995934,1973
2004-01-01,Oromiya,Maize,786365.0,1551558100,1973
2022-01-01,Oromiya,Teff,1519814.74,2996758806,1972
2008-01-01,DIRE DAWA,Maize,284.0,559681,1971
2015-01-01,DIRE DAWA,Sorghum,9923.91,19479552,1963
1998-01-01,S.N.N.P.R,Maize,165470.0,324638000,1962
1999-01-01,Oromiya,Maize,702820.0,1377752000,1960
2010-01-01,Oromiya,Wheat,857603.04,1678241527,1957
1996-01-01,Amhara,Maize,289690.0,566729000,1956
2012-01-01,Amhara,Sorghum,733017.68,1432067373,1954
2016-01-01,Gambela,Maize,4080.02,7969537,1953
2020-01-01,S.N.N.P.R,Barely,89967.31,175567149,1951
2014-01-01,Amhara,Millet,236680.54,461839493,1951
1997-01-01,S.N.N.P.R,Wheat,64340.0,125494000,1950
1996-01-01,Benushangul Gumuz,Maize,20550.0,40001000,1947
2010-01-01,Oromiya,Sorghum,754878.14,1465676728,1942
2019-01-01,S.N.N.P.R,Barely,93643.58,181893969,1942
2013-01-01,Amhara,Sorghum,578276.4,1122766952,1942
2011-01-01,Oromiya,Wheat,815975.59,1583211946,1940
2013-01-01,Benushangul Gumuz,Sorghum,65933.36,130995716,1940
2010-01-01,S.N.N.P.R,Maize,278927.61,539079421,1933
2021-01-01,Oromiya,Teff,1393455.62,2690467012,1931
2000-01-01,Oromiya,Maize,747550.0,1443799000,1931
2018-01-01,DIRE DAWA,Sorghum,10820.72,20879988,1930
2021-01-01,Amhara,Teff,1086374.6,2096462906,1930
2012-01-01,Harari,Sorghum,7701.89,14851094,1928
2015-01-01,Oromiya,Oats,22369.93,42990350,1922
2011-01-01,Tigray,Wheat,100175.69,192507914,1922
2016-01-01,Oromiya,Oats,18685.46,35777129,1915
2022-01-01,Amhara,Teff,1177078.03,2254030137,1915
2005-01-01,Afar,Maize,6863.0,13131100,1913
2009-01-01,S.N.N.P.R,Wheat,113660.3,217003280,1909
2000-01-01,Afar,Maize,6390.0,12190000,1908
2000-01-01,Gambela,Sorghum,5310.0,10133000,1908
1997-01-01,S.N.N.P.R,Maize,163240.0,311344000,1907
2009-01-01,Oromiya,Wheat,794835.8,1515266300,1906
1999-01-01,Benushangul Gumuz,Maize,29010.0,55272000,1905
2018-01-01,S.N.N.P.R,Barely,81161.32,154504718,1904
2014-01-01,Tigray,Millet,82129.65,156317271,1903
2012-01-01,Tigray,Wheat,105308.56,200169578,1901
1996-01-01,S.N.N.P.R,Wheat,58260.0,110568000,1898
2012-01-01,Oromiya,Barely,460544.73,872051015,1894
2018-01-01,Harari,Sorghum,7316.23,13837675,1891
1999-01-01,Tigray,Maize,69870.0,131798000,1886
2009-01-01,S.N.N.P.R,Maize,280446.0,528670080,1885
2020-01-01,Oromiya,Teff,1512041.32,2845606691,1882
2021-01-01,Tigray,Barely,85431.88,160688813,1881
2020-01-01,Amhara,Teff,1201283.74,2258240600,1880
2017-01-01,Amhara,Barely,323655.73,608069113,1879
2014-01-01,DIRE DAWA,Maize,316.0,591969,1873
2015-01-01,Tigray,Wheat,108865.39,203459405,1869
2011-01-01,S.N.N.P.R,Wheat,131162.87,244601954,1865
2022-01-01,DIRE DAWA,Maize,725.0,1353733,1865
2020-01-01,Tigray,Barely,94845.64,176359549,1859
2014-01-01,S.N.N.P.R,Sorghum,118211.88,219406699,1856
1996-01-01,S.N.N.P.R,Maize,194650.0,359653000,1848
2009-01-01,Oromiya,Sorghum,677092.3,1259841300,1847
2012-01-01,Benushangul Gumuz,Sorghum,60122.37,110820634,1843
2019-01-01,Tigray,Barely,91579.93,168685384,1842
2005-01-01,Oromiya,Maize,791686.0,1452647800,1835
2013-01-01,Tigray,Wheat,111846.34,205272449,1835
