Year,Region,crop_type,Area_cultivatedHa,Productionkg,Yeild_kg/ha
2017,9,4,253757.11,712005432,2806
2021,6,0,440702.06,1231994795,2796
2022,1,6,689614.06,1922028970,2787
2014,8,1,30095.76,83716824,2782
2001,4,1,8790.0,24420000,2778
2020,7,4,102785.55,284099694,2764
2020,7,6,145106.35,400771950,2762
2012,7,1,306431.17,844723248,2757
2014,6,6,837000.48,2302851378,2751
2020,1,4,688114.09,1883182338,2737
2015,9,4,224367.43,610662690,2722
2004,0,1,7826.0,21282200,2719
2006,0,1,12776.38,34727756,2718
2021,6,4,676075.0,1836612661,2717
2022,6,4,612806.85,1664914738,2717
2020,1,6,575015.31,1558379990,2710
2012,1,1,494625.08,1338702721,2706
2020,9,1,69865.24,188645136,2700
2019,2,4,56675.14,151995631,2682
2018,2,4,58946.39,158002844,2680
2011,2,1,43855.14,117292462,2675
2019,4,1,4040.25,10785938,2670
2012,8,4,28368.93,75704284,2669
2019,7,6,151583.2,402857455,2658
2021,1,4,597440.83,1588192136,2658
2022,1,4,576148.05,1529198053,2654
2019,1,4,643170.0,1704082052,2650
2018,1,4,672491.78,1781203242,2649
2018,4,1,4751.79,12582755,2648
2012,8,1,28934.09,75840758,2621
2016,9,4,239371.58,624644832,2610
2022,6,2,90123.82,235107600,2609
2019,7,4,102872.44,268432922,2609
2018,7,6,127246.59,339195951,2606
2022,1,2,243448.48,632893061,2600
2019,1,6,570742.91,1482043379,2597
2011,6,1,1109276.03,2880545093,2597
2017,6,4,739781.8,1916601228,2591
2021,6,2,97266.93,251563241,2586
2016,8,4,33056.64,85415780,2584
2017,7,6,127211.62,328759190,2584
2012,5,1,2068.62,5337816,2580
2011,1,1,472260.11,1214805420,2572
2021,7,4,62926.09,161787868,2571
2019,9,1,67675.62,173597203,2565
2018,9,1,62161.78,159056125,2559
2017,9,1,66451.95,169801363,2555
2018,7,4,112193.73,285264082,2543
2021,1,2,259903.48,660446344,2541
2014,9,4,215111.82,546322532,2540
2018,1,6,554661.74,1404707481,2533
2015,6,4,719399.7,1814671697,2522
2020,9,2,84868.47,213906149,2520
2020,2,6,3377.63,8477865,2510
2016,7,6,133419.8,334633928,2508
2014,6,4,669575.97,173920869,2500
2022,7,4,79129.69,197616957,2497
2020,6,2,68782.2,171626108,2495
2016,6,4,759954.42,1884630071,2480
2015,9,1,64197.01,159149435,2479
2019,6,2,82044.16,201074320,2451
2017,1,4,670114.31,1640299423,2448
2015,7,6,137294.72,334571131,2437
2021,7,0,75440.14,183737285,2436
2017,2,4,58377.9,142172507,2435
2020,1,2,234632.36,570819330,2433
2020,6,0,372910.96,904786657,2426
2013,9,4,208390.45,505138377,2424
2016,0,1,2330.86,5639678,2420
2018,5,1,1397.66,3382752,2420
2009,2,1,32009.85,77336861,2416
2019,8,1,23792.38,57483111,2416
2018,8,1,23792.38,57483111,2416
2019,2,6,3033.6,7322787,2414
2021,7,2,9362.3,22601497,2414
2019,6,0,386569.22,932507644,2412
2018,6,0,451279.26,1088487660,2412
2021,4,1,4831.46,11639114,2409
2018,2,6,2455.71,5908357,2406
2017,6,0,454662.78,1093944813,2406
1998,4,1,9000.0,21642000,2405
2019,9,2,85575.12,205423561,2401
2021,9,2,9199.73,215725616,2392
2011,9,1,62857.22,149852718,2384
2016,8,1,25833.74,61503026,2381
2017,1,6,554284.49,1319069113,2380
2014,7,6,118349.23,281685626,2380
2017,5,1,1407.76,3340244,2373
2014,4,4,3050.36,7228069,2370
2012,9,1,64803.39,153610800,2370
2015,4,4,3050.36,7228069,2370
